Fecha,E_index,C_index
1950-01-31,-1.33055,-1.78454
1950-02-28,-0.99382,-1.84567
1950-03-31,0.04162,-2.31288
1950-04-30,-0.3714,-2.22178
1950-05-31,-0.94705,-1.79224
1950-06-30,-1.18696,-1.11542
1950-07-31,-0.57787,-1.59201
1950-08-31,-0.01844,-1.72102
1950-09-30,-0.02285,-1.9206
1950-10-31,0.09246,-2.08611
1950-11-30,-0.59199,-2.05249
1950-12-31,-0.31666,-2.0271
1951-01-31,-0.01315,-1.80071
1951-02-28,-0.05109,-1.62827
1951-03-31,-0.17337,-0.8308
1951-04-30,0.07183,-0.73176
1951-05-31,-0.26863,0.04276
1951-06-30,0.70634,-0.41044
1951-07-31,1.3162,-0.19493
1951-08-31,1.39979,-0.72212
1951-09-30,0.99562,-0.38394
1951-10-31,1.2264,-0.49606
1951-11-30,1.26202,-0.24519
1951-12-31,0.67896,-0.05147
1952-01-31,0.24374,-0.06086
1952-02-29,0.25995,-0.33741
1952-03-31,0.2617,-0.46828
1952-04-30,-0.35029,0.02053
1952-05-31,-0.61693,-0.07987
1952-06-30,-0.76201,-0.40697
1952-07-31,-0.5671,-0.82828
1952-08-31,-0.18427,-0.86853
1952-09-30,-0.73749,-0.21792
1952-10-31,-0.26327,-0.78178
1952-11-30,-0.77719,-0.59974
1952-12-31,-0.04716,-0.84295
1953-01-31,0.12711,-0.30635
1953-02-28,0.46648,-0.26972
1953-03-31,0.8225,-0.48481
1953-04-30,0.94837,-0.43017
1953-05-31,0.69919,-0.20163
1953-06-30,0.39165,0.19714
1953-07-31,0.18767,-0.07469
1953-08-31,0.342,-0.25189
1953-09-30,0.92249,-0.60577
1953-10-31,0.28577,-0.19972
1953-11-30,0.23582,-0.22514
1953-12-31,0.11563,0.02873
1954-01-31,-0.78395,0.47339
1954-02-28,-0.61886,0.2557
1954-03-31,-0.67411,-0.31843
1954-04-30,-2.22755,-0.46487
1954-05-31,-2.07765,-0.32845
1954-06-30,-1.85689,-0.5475
1954-07-31,-1.7028,-0.91265
1954-08-31,-1.26986,-1.30609
1954-09-30,-1.29959,-1.45615
1954-10-31,-1.28406,-1.67574
1954-11-30,-0.93974,-1.49449
1954-12-31,-1.05808,-1.62849
1955-01-31,-0.44772,-1.3002
1955-02-28,-0.22241,-1.49972
1955-03-31,-0.37471,-1.61441
1955-04-30,-0.69313,-1.58182
1955-05-31,-1.46979,-1.25791
1955-06-30,-1.48923,-1.06589
1955-07-31,-1.16937,-1.05622
1955-08-31,-0.82622,-1.7135
1955-09-30,-0.97879,-1.8468
1955-10-31,-1.25787,-2.74617
1955-11-30,-1.27615,-2.77504
1955-12-31,-1.49753,-1.99629
1956-01-31,-0.71334,-1.65172
1956-02-29,-0.29926,-1.54898
1956-03-31,0.07992,-1.63209
1956-04-30,-0.2324,-1.60575
1956-05-31,-0.60206,-1.24531
1956-06-30,-0.57601,-1.16053
1956-07-31,-0.18524,-1.74753
1956-08-31,0.01911,-2.10185
1956-09-30,-0.29203,-1.81758
1956-10-31,-0.67266,-1.48577
1956-11-30,-0.96286,-1.17376
1956-12-31,-1.22,-0.74974
1957-01-31,-1.03861,-0.47064
1957-02-28,0.11029,-0.64587
1957-03-31,0.86721,-0.68551
1957-04-30,0.7007,-0.235
1957-05-31,1.40292,-0.33746
1957-06-30,1.8114,-0.78825
1957-07-31,2.27313,-0.86463
1957-08-31,1.468,-0.1533
1957-09-30,1.19491,-0.21099
1957-10-31,0.92028,-0.02411
1957-11-30,1.25235,0.00639
1957-12-31,1.24881,0.44725
1958-01-31,0.60186,1.34433
1958-02-28,0.24184,1.4826
1958-03-31,0.1216,1.04583
1958-04-30,0.39888,0.40487
1958-05-31,0.18365,0.26183
1958-06-30,0.08627,0.24358
1958-07-31,0.0085,0.02324
1958-08-31,-0.09014,0.02634
1958-09-30,-0.37679,-0.01605
1958-10-31,-0.43755,0.12988
1958-11-30,-0.25501,0.1847
1958-12-31,-0.53536,0.29
1959-01-31,-0.36636,0.54293
1959-02-28,-0.03235,0.10811
1959-03-31,0.2886,-0.26669
1959-04-30,0.05774,-0.03852
1959-05-31,-0.40348,-0.04711
1959-06-30,-0.45933,-0.31775
1959-07-31,-0.53914,-0.66062
1959-08-31,-0.81351,-0.39024
1959-09-30,-0.46226,-0.5488
1959-10-31,-0.13546,-0.53418
1959-11-30,0.08108,-0.96703
1959-12-31,-0.12284,-0.71258
1960-01-31,0.12536,-0.82669
1960-02-29,-0.01964,-0.88248
1960-03-31,0.12564,-0.72545
1960-04-30,-0.29798,-0.52132
1960-05-31,-0.52812,-0.36531
1960-06-30,-0.69224,-0.55561
1960-07-31,-0.48069,-0.64673
1960-08-31,-0.20518,-0.57969
1960-09-30,0.25728,-0.86306
1960-10-31,-0.58587,-0.63454
1960-11-30,-0.81666,-0.47879
1960-12-31,-0.65457,-0.1588
1961-01-31,-0.29816,-0.3973
1961-02-28,0.36285,-0.67938
1961-03-31,-0.13104,-0.6819
1961-04-30,0.14942,-0.91864
1961-05-31,-0.13511,-0.64728
1961-06-30,-0.29272,-0.4089
1961-07-31,-1.00747,-0.56081
1961-08-31,-0.70193,-0.96341
1961-09-30,-1.13948,-0.83675
1961-10-31,-0.87476,-1.10541
1961-11-30,-0.46801,-0.87755
1961-12-31,-0.4974,-0.79802
1962-01-31,-0.4123,-0.84782
1962-02-28,-0.22209,-0.8021
